2023-2024 Season Weekly Team Prediction
---------------------Week 2--------------------------
FWD
name,total_points,Predicted Total Points
Oleksandr Zinchenko,8,3.4332998031316304
Kyle Walker,1,3.3892323508462625
GK
name,total_points,Predicted Total Points
David Raya Martin,6,4.47608499131421
José Malheiro de Sá,0,4.160238702900313
---------------------Week 18--------------------------
FWD
name,total_points,Predicted Total Points
Ollie Watkins,2,4.693732339994709
Jean-Philippe Mateta,1,4.449676867991526
Gabriel Fernando de Jesus,2,4.318708955393582
MID
name,total_points,Predicted Total Points
Cole Palmer,1,5.528894970972586
Miguel Almirón Rejala,2,5.414434184010388
Mohamed Salah,7,4.974869298989912
Dejan Kulusevski,1,4.500733916218844
Lucas Tolentino Coelho de Lima,5,4.469252693019733
DEF
name,total_points,Predicted Total Points
Trent Alexander-Arnold,5,5.460982778673569
Murillo Santiago Costa dos Santos,1,5.147405529655526
Tyrick Mitchell,1,4.664987771487772
Marc Guéhi,2,4.613759410259409
Chris Richards,2,4.587545476045475
GK
name,total_points,Predicted Total Points
Djordje Petrovic,2,4.773633901948963
Alisson Ramses Becker,2,4.6577131127348
---------------------Week 19--------------------------
FWD
name,total_points,Predicted Total Points
Alexander Isak,7,5.79275608444351
Gabriel Fernando de Jesus,1,5.314582004272507
Jay Rodriguez,0,5.209276152814257
MID
name,total_points,Predicted Total Points
Kai Havertz,0,5.17101301466089
Jordan Ayew,5,4.763938310184713
Martin Ødegaard,2,4.733183673296443
Andros Townsend,2,4.722808506489925
Raheem Sterling,0,4.692646663833364
DEF
name,total_points,Predicted Total Points
Trent Alexander-Arnold,8,5.188213646375416
Alfie Doughty,7,4.915069105839765
Benjamin White,1,4.467977402055571
William Saliba,1,4.290742809206043
Marcos Senesi,6,4.194184951879398
GK
name,total_points,Predicted Total Points
Wes Foderingham,2,4.47904041801637
David Raya Martin,6,4.170685320092709
---------------------Week 20--------------------------
FWD
name,total_points,Predicted Total Points
Gabriel Fernando de Jesus,1,5.964600952167377
Darwin Núñez Ribeiro,5,5.67075516315756
Julián Álvarez,7,5.579635292575165
MID
name,total_points,Predicted Total Points
Bukayo Saka,7,5.514900854737524
Mohamed Salah,16,5.290906082710992
Martin Ødegaard,2,5.023559500384283
Michael Olise,15,5.019217926295248
Hwang Hee-chan,6,5.01697926974794
DEF
name,total_points,Predicted Total Points
Trent Alexander-Arnold,0,6.046667957357968
Illia Zabarnyi,1,4.592013137560108
Marcos Senesi,0,4.267500843372812
Virgil van Dijk,1,4.2088099039337115
Emerson Palmieri dos Santos,6,4.057068468568469
GK
name,total_points,Predicted Total Points
Ederson Santana de Moraes,6,3.9046628589936785
Matt Turner,3,3.778248772508807
---------------------Week 21--------------------------
FWD
name,total_points,Predicted Total Points
João Pedro Junqueira de Jesus,2,5.703563206275775
Gabriel Fernando de Jesus,5,5.1034511774979645
Danny Welbeck,2,5.017481204763773
MID
name,total_points,Predicted Total Points
Phil Foden,2,6.519773134574991
Cole Palmer,10,5.217560738246724
Mohamed Salah,0,5.128545545199821
Richarlison de Andrade,8,4.804715425807515
Marcus Tavernier,2,4.386099613469019
DEF
name,total_points,Predicted Total Points
Joško Gvardiol,1,5.663687033239665
Trent Alexander-Arnold,0,5.291292559836677
Pervis Estupiñán,8,4.393794834794837
Nathan Aké,1,4.381846356090051
Manuel Akanji,0,4.294038202367316
GK
name,total_points,Predicted Total Points
James Trafford,2,4.622292572950719
Jason Steele,10,4.3775985615678765
---------------------Week 22--------------------------
FWD
name,total_points,Predicted Total Points
Rasmus Højlund,10,4.920424593825342
Eddie Nketiah,1,4.89838142178141
Zeki Amdouni,1,4.850357269445026
MID
name,total_points,Predicted Total Points
Gabriel Martinelli Silva,3,5.711176100409285
Phil Foden,6,5.693984965072176
Cole Palmer,2,5.494738967256467
Richarlison de Andrade,7,5.365863814439084
Leandro Trossard,1,5.286495094391887
DEF
name,total_points,Predicted Total Points
Pervis Estupiñán,0,4.822508237444049
Gabriel dos Santos Magalhães,2,4.321187095312098
Malo Gusto,0,4.202187175749215
Konstantinos Mavropanos,2,4.095137846864591
Antonee Robinson,6,4.025545815782658
GK
name,total_points,Predicted Total Points
Norberto Murara Neto,2,4.180626674694423
David Raya Martin,2,3.7648499535231243
---------------------Week 23--------------------------
FWD
name,total_points,Predicted Total Points
Rasmus Højlund,8,5.675291295095335
Danny Ings,0,5.12479451485444
Neal Maupay,6,5.122242213815314
MID
name,total_points,Predicted Total Points
James Ward-Prowse,2,5.2325376785488364
Eberechi Eze,0,4.870562587478762
Scott McTominay,4,4.836923909942413
Brennan Johnson,2,4.821948258510717
Bukayo Saka,9,4.652788636830905
DEF
name,total_points,Predicted Total Points
Conor Bradley,0,5.254928712126084
Oleksandr Zinchenko,1,4.800612509281414
Joe Gomez,0,4.446913008199943
Kieran Trippier,9,4.3593981306987795
Clément Lenglet,6,4.125206254444409
GK
name,total_points,Predicted Total Points
Đorđe Petrović,1,4.486908686834963
Martin Dubravka,1,3.879198680415555
---------------------Week 24--------------------------
FWD
name,total_points,Predicted Total Points
Julián Álvarez,2,5.697922426666782
